"date","year","month","transportation_type","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2023-10-01",2023,10,automobile,12200.0,10400.0,17.3,295300.0,210500.0,40.3,January - October
"2023-11-01",2023,11,automobile,3000.0,2500.0,20.0,298300.0,213000.0,40.0,January - November
"2023-12-01",2023,12,automobile,2000.0,1900.0,5.3,300300.0,214900.0,39.7,January - December
"2023-01-01",2023,1,bus,0.0,0.0,,0.0,0.0,,January - January
"2023-02-01",2023,2,bus,0.0,0.0,,0.0,0.0,,January - February
"2023-03-01",2023,3,bus,0.0,0.0,,0.0,0.0,,January - March
"2023-04-01",2023,4,bus,0.0,0.0,,0.0,0.0,,January - April
"2023-05-01",2023,5,bus,8800.0,100.0,8700.0,8800.0,100.0,8700.0,January - May
"2023-06-01",2023,6,bus,8900.0,2000.0,345.0,17700.0,2100.0,742.9,January - June
"2023-07-01",2023,7,bus,8700.0,1700.0,411.8,26400.0,3800.0,594.7,January - July
"2023-08-01",2023,8,bus,13500.0,2800.0,382.1,39900.0,6600.0,504.5,January - August
"2023-09-01",2023,9,bus,9000.0,1200.0,650.0,48900.0,7800.0,526.9,January - September
"2023-10-01",2023,10,bus,0.0,0.0,,48900.0,7800.0,526.9,January - October
"2023-11-01",2023,11,bus,0.0,0.0,,48900.0,7800.0,526.9,January - November
"2023-12-01",2023,12,bus,0.0,0.0,,48900.0,7800.0,526.9,January - December
"2023-01-01",2023,1,plane,3100.0,1900.0,63.2,3100.0,1900.0,63.2,January - January
"2023-02-01",2023,2,plane,3700.0,2500.0,48.0,6800.0,4400.0,54.5,January - February
"2023-03-01",2023,3,plane,3200.0,2400.0,33.3,10000.0,6800.0,47.1,January - March
"2023-04-01",2023,4,plane,2600.0,2100.0,23.8,12600.0,8900.0,41.6,January - April
"2023-05-01",2023,5,plane,4600.0,3800.0,21.1,17200.0,12700.0,35.4,January - May
"2023-06-01",2023,6,plane,6500.0,5300.0,22.6,23700.0,18000.0,31.7,January - June
"2023-07-01",2023,7,plane,8700.0,7000.0,24.3,32400.0,25000.0,29.6,January - July
"2023-08-01",2023,8,plane,10900.0,9500.0,14.7,43300.0,34500.0,25.5,January - August
"2023-09-01",2023,9,plane,7000.0,6100.0,14.8,50300.0,40600.0,23.9,January - September
"2023-10-01",2023,10,plane,3100.0,2400.0,29.2,53400.0,43000.0,24.2,January - October
"2023-11-01",2023,11,plane,3500.0,3000.0,16.7,56900.0,46000.0,23.7,January - November
"2023-12-01",2023,12,plane,3900.0,3400.0,14.7,60800.0,49400.0,23.1,January - December
"2023-01-01",2023,1,train,0.0,0.0,,0.0,0.0,,January - January
"2023-02-01",2023,2,train,0.0,0.0,,0.0,0.0,,January - February
"2023-03-01",2023,3,train,0.0,0.0,,0.0,0.0,,January - March
"2023-04-01",2023,4,train,0.0,0.0,,0.0,0.0,,January - April
"2023-05-01",2023,5,train,8100.0,0.0,,8100.0,0.0,,January - May
"2023-06-01",2023,6,train,11400.0,0.0,,19500.0,0.0,,January - June
"2023-07-01",2023,7,train,9800.0,0.0,,29300.0,0.0,,January - July
"2023-08-01",2023,8,train,8700.0,0.0,,38000.0,0.0,,January - August
"2023-09-01",2023,9,train,4000.0,0.0,,42000.0,0.0,,January - September
"2023-10-01",2023,10,train,0.0,0.0,,42000.0,0.0,,January - October
"2023-11-01",2023,11,train,0.0,0.0,,42000.0,0.0,,January - November
"2023-12-01",2023,12,train,0.0,0.0,,42000.0,0.0,,January - December
"2024-01-01",2024,1,All,5800.0,4700.0,23.4,5800.0,4700.0,23.4,January - January
"2024-02-01",2024,2,All,7400.0,5500.0,34.5,13200.0,10200.0,29.4,January - February
"2024-03-01",2024,3,All,6600.0,5300.0,24.5,19800.0,15500.0,27.7,January - March
"2024-04-01",2024,4,All,9200.0,8800.0,4.5,29000.0,24300.0,19.3,January - April
"2024-05-01",2024,5,All,53800.0,49200.0,9.3,82800.0,73500.0,12.7,January - May
"2024-06-01",2024,6,All,88300.0,76300.0,15.7,171100.0,149800.0,14.2,January - June
"2024-07-01",2024,7,All,96100.0,104300.0,-7.9,267200.0,254100.0,5.2,January - July
"2024-01-01",2024,1,automobile,1600.0,1600.0,0.0,1600.0,1600.0,0.0,January - January
"2024-02-01",2024,2,automobile,2300.0,1800.0,27.8,3900.0,3400.0,14.7,January - February
"2024-03-01",2024,3,automobile,2700.0,2100.0,28.6,6600.0,5500.0,20.0,January - March
"2024-04-01",2024,4,automobile,5900.0,6200.0,-4.8,12500.0,11700.0,6.8,January - April
"2024-05-01",2024,5,automobile,29300.0,27700.0,5.8,41800.0,39400.0,6.1,January - May
"2024-06-01",2024,6,automobile,55500.0,49500.0,12.1,97300.0,88900.0,9.4,January - June
"2024-07-01",2024,7,automobile,63800.0,77100.0,-17.3,161100.0,166000.0,-3.0,January - July
"2024-01-01",2024,1,bus,0.0,0.0,,0.0,0.0,,January - January
"2024-02-01",2024,2,bus,0.0,0.0,,0.0,0.0,,January - February
"2024-03-01",2024,3,bus,0.0,0.0,,0.0,0.0,,January - March
"2024-04-01",2024,4,bus,0.0,0.0,,0.0,0.0,,January - April
"2024-05-01",2024,5,bus,9700.0,8800.0,10.2,9700.0,8800.0,10.2,January - May
"2024-06-01",2024,6,bus,11400.0,8900.0,28.1,21100.0,17700.0,19.2,January - June
"2024-07-01",2024,7,bus,10000.0,8700.0,14.9,31100.0,26400.0,17.8,January - July
"2024-01-01",2024,1,plane,4200.0,3100.0,35.5,4200.0,3100.0,35.5,January - January
"2024-02-01",2024,2,plane,5100.0,3700.0,37.8,9300.0,6800.0,36.8,January - February
"2024-03-01",2024,3,plane,3900.0,3200.0,21.9,13200.0,10000.0,32.0,January - March
"2024-04-01",2024,4,plane,3300.0,2600.0,26.9,16500.0,12600.0,31.0,January - April
"2024-05-01",2024,5,plane,5200.0,4600.0,13.0,21700.0,17200.0,26.2,January - May
"2024-06-01",2024,6,plane,7300.0,6500.0,12.3,29000.0,23700.0,22.4,January - June
"2024-07-01",2024,7,plane,10400.0,8700.0,19.5,39400.0,32400.0,21.6,January - July
"2024-01-01",2024,1,train,0.0,0.0,,0.0,0.0,,January - January
"2024-02-01",2024,2,train,0.0,0.0,,0.0,0.0,,January - February
"2024-03-01",2024,3,train,0.0,0.0,,0.0,0.0,,January - March
"2024-04-01",2024,4,train,0.0,0.0,,0.0,0.0,,January - April
"2024-05-01",2024,5,train,9600.0,8100.0,18.5,9600.0,8100.0,18.5,January - May
"2024-06-01",2024,6,train,14100.0,11400.0,23.7,23700.0,19500.0,21.5,January - June
"2024-07-01",2024,7,train,11900.0,9800.0,21.4,35600.0,29300.0,21.5,January - July
